"IDSCENARIOS","IDYEARS","REGION_4LETTER","REGION_4LETTER_LABEL","PM25_ANTHROP","PM25_SELF","PM25_EXPORT"
"Baseline",2020,"AFGH","Afghanistan",42.63,41.789,1.828
"Baseline",2020,"ALBA","Albania",16.5,9.297,0.742
"Baseline",2020,"ARGE","Argentina",3.37,2.908,0.336
"Baseline",2020,"ARME","Armenia",10.04,6.083,0.505
"Baseline",2020,"AUST","Austria",9.37,4.296,3.244
"Baseline",2020,"AUTR","Australia",2.43,2.358,0.076
"Baseline",2020,"AZER","Azerbaijan",7.19,3.532,1.324
"Baseline",2020,"BANG","Bangladesh",53.66,32.511,1.595
"Baseline",2020,"BELA","Belarus",9.17,4.265,1.539
"Baseline",2020,"BELG","Belgium",9.87,3.663,2.847
"Baseline",2020,"BHUT","Bhutan",9.92,3.978,0.416
"Baseline",2020,"BOHE","Bosnia and Herzegovina",24.3,18.638,12.109
"Baseline",2020,"BOLV","Bolivia (Plurinational State of)",2.34,2.229,0.004
"Baseline",2020,"BRAZ","Brazil",6.01,5.945,1.377
"Baseline",2020,"BRUN","Brunei Darussalam",4.56,2.713,0.085
"Baseline",2020,"BULG","Bulgaria",13.02,7.188,2.25
"Baseline",2020,"CAMB","Cambodia",7.01,4.296,0.238
"Baseline",2020,"CANA","Canada",7.21,5.469,0.218
"Baseline",2020,"CARB","Caribbean",3.82,3.663,0.179
"Baseline",2020,"CEAM","Central America",6.6,6.498,0.025
"Baseline",2020,"CHIL","Chile",18.02,17.922,0.203
"Baseline",2020,"CHIN","China",30.65,29.829,20.872
"Baseline",2020,"COLO","Colombia",6.92,6.714,0.032
"Baseline",2020,"CROA","Croatia",14.09,6.439,2.505
"Baseline",2020,"CYPR","Cyprus",7.57,0.788,0.011
"Baseline",2020,"CZRE","Czech Republic",13.1,7.005,5.294
"Baseline",2020,"DENM","Denmark",5.99,1.873,0.706
"Baseline",2020,"EAFR","Eastern Africa (excl Kenya, Tanzania)",8.44,7.43,0.67
"Baseline",2020,"ECUA","Ecuador",3.28,3.135,0.007
"Baseline",2020,"EGYP","Egypt",12.82,10.859,1.382
"Baseline",2020,"ESTO","Estonia",5.25,2.357,0.135
"Baseline",2020,"FINL","Finland",3.48,1.508,0.332
"Baseline",2020,"FRAN","France",7.71,4.939,9.098
"Baseline",2020,"GEOR","Georgia",7.27,4.263,0.37
"Baseline",2020,"GERM","Germany",8.17,4.395,16.845
"Baseline",2020,"GREE","Greece",11.97,6.342,1.431
"Baseline",2020,"HUNG","Hungary",13.26,5.645,3.737
"Baseline",2020,"ICEL","Iceland",2.65,1.801,0.022
"Baseline",2020,"INDI","India",38.22,32.925,43.728
"Baseline",2020,"INDO","Indonesia",31.34,31.085,2.994
"Baseline",2020,"IRAN","Iran",21.39,20.122,2.241
"Baseline",2020,"IREL","Ireland",3.57,1.711,0.305
"Baseline",2020,"ISRA","Israel",16.37,13.393,1.466
"Baseline",2020,"ITAL","Italy",12.6,9.227,5.761
"Baseline",2020,"JAPA","Japan",7.63,6.269,0.048
"Baseline",2020,"KAZA","Kazakhstan",20.97,18.075,3.296
"Baseline",2020,"KENY","Kenya",8.67,8.013,0.361
"Baseline",2020,"KORN","North Korea",14.43,5.69,1.391
"Baseline",2020,"KORS","Republic of Korea",23.85,14.214,1.098
"Baseline",2020,"KOSO","Kosovo",34.8,24.975,4.151
"Baseline",2020,"KYRG","Kyrgyzstan",9.76,5.608,1.321
"Baseline",2020,"LAOS","Laos",5.28,1.837,0.342
"Baseline",2020,"LATV","Latvia",8.72,4.949,0.336
