"effect","obs","comp","fe","idx"
-15.09814200058,10,1,"REGION_4LETTER","ALBA"
-15.4500715321952,10,1,"REGION_4LETTER","ARGE"
-14.9491473430454,10,1,"REGION_4LETTER","ARME"
-13.7949137292884,10,1,"REGION_4LETTER","AUST"
-14.3903668257844,10,1,"REGION_4LETTER","AUTR"
-17.3984637501863,10,1,"REGION_4LETTER","AZER"
-19.1276439213617,10,1,"REGION_4LETTER","BANG"
-15.3553266250077,10,1,"REGION_4LETTER","BELA"
-14.0449297628087,10,1,"REGION_4LETTER","BELG"
-16.1268513658414,10,1,"REGION_4LETTER","BHUT"
-14.7577708784954,10,1,"REGION_4LETTER","BOHE"
-16.7606267503383,10,1,"REGION_4LETTER","BOLV"
-16.0851483005729,10,1,"REGION_4LETTER","BRAZ"
-15.2545778693121,10,1,"REGION_4LETTER","BRUN"
-14.6053541883674,10,1,"REGION_4LETTER","BULG"
-17.1935009572439,10,1,"REGION_4LETTER","CAMB"
-14.1075987832497,10,1,"REGION_4LETTER","CANA"
-15.9589152319729,10,1,"REGION_4LETTER","CARB"
-16.3093050548509,10,1,"REGION_4LETTER","CEAM"
-15.3746903244257,10,1,"REGION_4LETTER","CHIL"
-16.9757476126646,10,1,"REGION_4LETTER","CHIN"
-15.5510608883197,10,1,"REGION_4LETTER","COLO"
-14.3075242093605,10,1,"REGION_4LETTER","CROA"
-14.1689934307409,10,1,"REGION_4LETTER","CYPR"
-14.3257878340653,10,1,"REGION_4LETTER","CZRE"
-14.0063727347107,10,1,"REGION_4LETTER","DENM"
-20.372225966448,10,1,"REGION_4LETTER","EAFR"
-16.1012389062129,10,1,"REGION_4LETTER","ECUA"
-18.6190807776063,10,1,"REGION_4LETTER","EGYP"
-13.9257300184733,10,1,"REGION_4LETTER","ESTO"
-13.6830595351506,10,1,"REGION_4LETTER","FINL"
-14.5250011580751,10,1,"REGION_4LETTER","FRAN"
-15.2372345099042,10,1,"REGION_4LETTER","GEOR"
-14.0691321248725,10,1,"REGION_4LETTER","GERM"
-14.5953086109956,10,1,"REGION_4LETTER","GREE"
-14.6994967946608,10,1,"REGION_4LETTER","HUNG"
-13.1355743339096,10,1,"REGION_4LETTER","ICEL"
-19.3592679116387,10,1,"REGION_4LETTER","INDI"
-17.9478770100389,10,1,"REGION_4LETTER","INDO"
-18.9341785874819,10,1,"REGION_4LETTER","IRAN"
-14.0464840500294,10,1,"REGION_4LETTER","IREL"
-15.8202637122254,10,1,"REGION_4LETTER","ISRA"
-14.5953130191277,10,1,"REGION_4LETTER","ITAL"
-14.6939812390962,10,1,"REGION_4LETTER","JAPA"
-17.2239826698768,10,1,"REGION_4LETTER","KAZA"
-18.2128716008434,10,1,"REGION_4LETTER","KENY"
-15.1073655276163,10,1,"REGION_4LETTER","KORS"
-17.37584027809,10,1,"REGION_4LETTER","KYRG"
-18.4905664058046,10,1,"REGION_4LETTER","LAOS"
-14.0018432141871,10,1,"REGION_4LETTER","LATV"
-14.09874882636,10,1,"REGION_4LETTER","LITH"
-13.5847850799696,10,1,"REGION_4LETTER","LUXE"
-14.755397599549,10,1,"REGION_4LETTER","MACE"
-16.4679481982215,10,1,"REGION_4LETTER","MALA"
-13.8706128636611,10,1,"REGION_4LETTER","MALT"
-16.6625522867118,10,1,"REGION_4LETTER","MEXI"
-19.0972147889589,10,1,"REGION_4LETTER","MIDE"
-15.1442485738137,10,1,"REGION_4LETTER","MOLD"
-16.8146241720768,10,1,"REGION_4LETTER","MONG"
-14.1170898041789,10,1,"REGION_4LETTER","MONT"
-18.0555159098592,10,1,"REGION_4LETTER","MYAN"
-17.984321393246,10,1,"REGION_4LETTER","NAFR"
-18.1843935243244,10,1,"REGION_4LETTER","NEPA"
-14.1177919105672,10,1,"REGION_4LETTER","NETH"
-20.6523943551517,10,1,"REGION_4LETTER","NIGE"
-13.4287783322808,10,1,"REGION_4LETTER","NORW"
-14.0756003223911,10,1,"REGION_4LETTER","NZEL"
-20.5249494558274,10,1,"REGION_4LETTER","PAKI"
-15.7454137252959,10,1,"REGION_4LETTER","PARA"
-17.1658159572666,10,1,"REGION_4LETTER","PERU"
-16.8414420162674,10,1,"REGION_4LETTER","PHIL"
-14.9967162683393,10,1,"REGION_4LETTER","POLA"
-14.2612200459907,10,1,"REGION_4LETTER","PORT"
-15.057883432814,10,1,"REGION_4LETTER","ROMA"
-18.5446048345463,10,1,"REGION_4LETTER","RSAF"
-15.7954804869672,10,1,"REGION_4LETTER","RUSS"
-19.1802172770728,10,1,"REGION_4LETTER","SAAR"
-16.8905753701561,10,1,"REGION_4LETTER","SAFR"
-14.6098266994215,10,1,"REGION_4LETTER","SERB"
-14.8036087258089,10,1,"REGION_4LETTER","SING"
-14.6322171105501,10,1,"REGION_4LETTER","SKRE"
-13.8934452659767,10,1,"REGION_4LETTER","SLOV"
-14.7196712929377,10,1,"REGION_4LETTER","SPAI"
-16.6708964779696,10,1,"REGION_4LETTER","SRIL"
-13.6207990726628,10,1,"REGION_4LETTER","SWED"
-13.8370874884606,10,1,"REGION_4LETTER","SWIT"
-17.9602663996828,10,1,"REGION_4LETTER","TAJI"
-18.2405280433709,10,1,"REGION_4LETTER","TANZ"
-16.5186962478354,10,1,"REGION_4LETTER","THAI"
-18.7483645374807,10,1,"REGION_4LETTER","TKME"
-16.3202270740192,10,1,"REGION_4LETTER","TURK"
-15.8300624119684,10,1,"REGION_4LETTER","UKRA"
-14.3603082990537,10,1,"REGION_4LETTER","UNKI"
-14.5714901201572,10,1,"REGION_4LETTER","URUG"
-14.2766556582622,10,1,"REGION_4LETTER","USAM"
-17.4523535610261,10,1,"REGION_4LETTER","UZBE"
-16.9510102161439,10,1,"REGION_4LETTER","VIET"
