"effect","fe","idx"
0.143736634116966,"factor(IDYEARS)","2030"
-0.0193210014834902,"factor(IDYEARS)","2035"
-0.100359663525776,"factor(IDYEARS)","2040"
-0.0687136362772638,"factor(IDYEARS)","2045"
0.0139690480012438,"factor(IDYEARS)","2050"
-0.00529837690433595,"year0:factor(REGION_4LETTER)","AFGH"
-0.0335645655459075,"year0:factor(REGION_4LETTER)","ALBA"
-0.0122130397589482,"year0:factor(REGION_4LETTER)","ARGE"
-0.0140159080613339,"year0:factor(REGION_4LETTER)","ARME"
-0.0204579129455394,"year0:factor(REGION_4LETTER)","AUST"
-0.01884120771179,"year0:factor(REGION_4LETTER)","AUTR"
-0.0244944967364048,"year0:factor(REGION_4LETTER)","AZER"
-0.0138600997755344,"year0:factor(REGION_4LETTER)","BANG"
-0.024072260782282,"year0:factor(REGION_4LETTER)","BELA"
-0.0190660657386655,"year0:factor(REGION_4LETTER)","BELG"
-0.0175457329146195,"year0:factor(REGION_4LETTER)","BHUT"
-0.047382138593101,"year0:factor(REGION_4LETTER)","BOHE"
-0.00673399519099325,"year0:factor(REGION_4LETTER)","BOLV"
-0.011447458340417,"year0:factor(REGION_4LETTER)","BRAZ"
-0.0495682142901445,"year0:factor(REGION_4LETTER)","BRUN"
-0.051522289249207,"year0:factor(REGION_4LETTER)","BULG"
-0.0114840799546776,"year0:factor(REGION_4LETTER)","CAMB"
-0.0113578662908148,"year0:factor(REGION_4LETTER)","CANA"
-0.0201135624657392,"year0:factor(REGION_4LETTER)","CARB"
-0.01988229449698,"year0:factor(REGION_4LETTER)","CEAM"
-0.0239790355771255,"year0:factor(REGION_4LETTER)","CHIL"
-0.0204932732869185,"year0:factor(REGION_4LETTER)","CHIN"
-0.0173907194229719,"year0:factor(REGION_4LETTER)","COLO"
-0.0519213290449976,"year0:factor(REGION_4LETTER)","CROA"
-0.0173657227993141,"year0:factor(REGION_4LETTER)","CYPR"
-0.0405909476775205,"year0:factor(REGION_4LETTER)","CZRE"
-0.0175235346855961,"year0:factor(REGION_4LETTER)","DENM"
-0.00809811462198668,"year0:factor(REGION_4LETTER)","EAFR"
-0.0204539169062399,"year0:factor(REGION_4LETTER)","ECUA"
-0.0195324701145865,"year0:factor(REGION_4LETTER)","EGYP"
-0.0215591247345136,"year0:factor(REGION_4LETTER)","ESTO"
-0.0187758803537487,"year0:factor(REGION_4LETTER)","FINL"
-0.0127495654491493,"year0:factor(REGION_4LETTER)","FRAN"
-0.0147242692806065,"year0:factor(REGION_4LETTER)","GEOR"
-0.016839252546208,"year0:factor(REGION_4LETTER)","GERM"
-0.0155136507791641,"year0:factor(REGION_4LETTER)","GREE"
-0.0374720342265922,"year0:factor(REGION_4LETTER)","HUNG"
-0.00287026509355868,"year0:factor(REGION_4LETTER)","ICEL"
-0.0157810258795589,"year0:factor(REGION_4LETTER)","INDI"
-0.0192103099212297,"year0:factor(REGION_4LETTER)","INDO"
-0.0254608519124655,"year0:factor(REGION_4LETTER)","IRAN"
-0.0188914217954178,"year0:factor(REGION_4LETTER)","IREL"
-0.0200747146271958,"year0:factor(REGION_4LETTER)","ISRA"
-0.0234260232470957,"year0:factor(REGION_4LETTER)","ITAL"
-0.0153077464561244,"year0:factor(REGION_4LETTER)","JAPA"
8.77318244067403e-05,"year0:factor(REGION_4LETTER)","KENY"
-0.00949290795192931,"year0:factor(REGION_4LETTER)","KORS"
-0.0614776273000428,"year0:factor(REGION_4LETTER)","KOSO"
-0.0123889378039515,"year0:factor(REGION_4LETTER)","LAOS"
-0.0368303014222208,"year0:factor(REGION_4LETTER)","LATV"
-0.036353338072487,"year0:factor(REGION_4LETTER)","LITH"
-0.0262548972445541,"year0:factor(REGION_4LETTER)","LUXE"
-0.0384396663130643,"year0:factor(REGION_4LETTER)","MACE"
-0.0250121885165578,"year0:factor(REGION_4LETTER)","MALA"
-0.00863146158819731,"year0:factor(REGION_4LETTER)","MALT"
-0.0195618669541295,"year0:factor(REGION_4LETTER)","MEXI"
-0.00789020077843106,"year0:factor(REGION_4LETTER)","MIDE"
-0.0508977114241708,"year0:factor(REGION_4LETTER)","MOLD"
-0.0672452559780509,"year0:factor(REGION_4LETTER)","MONG"
-0.0550543277928879,"year0:factor(REGION_4LETTER)","MONT"
-0.0119062897091511,"year0:factor(REGION_4LETTER)","MYAN"
-0.0329052781561174,"year0:factor(REGION_4LETTER)","NAFR"
-0.00635918192386941,"year0:factor(REGION_4LETTER)","NEPA"
-0.0177816821014935,"year0:factor(REGION_4LETTER)","NETH"
-0.012592621846999,"year0:factor(REGION_4LETTER)","NIGE"
-0.0302175122679036,"year0:factor(REGION_4LETTER)","NORW"
