"REGIONGROUP","LABEL_REGIONGROUP","YEAR","ISO3","interceptpgdp","slope"
"CAS","Central Asia",2030,"KAZ",9.84320051722784e-06,-0.000141279291580926
"CAS","Central Asia",2030,"KGZ",9.84320051722784e-06,-0.000141279291580926
"CAS","Central Asia",2030,"TJK",9.84320051722784e-06,-0.000141279291580926
"CAS","Central Asia",2030,"TKM",9.84320051722784e-06,-0.000141279291580926
"CAS","Central Asia",2030,"UZB",9.84320051722784e-06,-0.000141279291580926
"CAS","Central Asia",2040,"KAZ",3.19246283981136e-05,-0.000307829262331129
"CAS","Central Asia",2040,"KGZ",3.19246283981136e-05,-0.000307829262331129
"CAS","Central Asia",2040,"TJK",3.19246283981136e-05,-0.000307829262331129
"CAS","Central Asia",2040,"TKM",3.19246283981136e-05,-0.000307829262331129
"CAS","Central Asia",2040,"UZB",3.19246283981136e-05,-0.000307829262331129
"CAS","Central Asia",2050,"KAZ",4.83728441765545e-05,-1.61971196846591e-05
"CAS","Central Asia",2050,"KGZ",4.83728441765545e-05,-1.61971196846591e-05
"CAS","Central Asia",2050,"TJK",4.83728441765545e-05,-1.61971196846591e-05
"CAS","Central Asia",2050,"TKM",4.83728441765545e-05,-1.61971196846591e-05
"CAS","Central Asia",2050,"UZB",4.83728441765545e-05,-1.61971196846591e-05
"CHI","Centrally Planned Asia",2030,"CHN",0.000189095526388173,-0.0500775408462088
"CHI","Centrally Planned Asia",2030,"PRK",0.000189095526388173,-0.0500775408462088
"CHI","Centrally Planned Asia",2030,"MNG",0.000189095526388173,-0.0500775408462088
"CHI","Centrally Planned Asia",2040,"CHN",0.00035800534301196,-0.0690437723521155
"CHI","Centrally Planned Asia",2040,"PRK",0.00035800534301196,-0.0690437723521155
"CHI","Centrally Planned Asia",2040,"MNG",0.00035800534301196,-0.0690437723521155
"CHI","Centrally Planned Asia",2050,"CHN",0.000369887632863932,0.0128091333056574
"CHI","Centrally Planned Asia",2050,"PRK",0.000369887632863932,0.0128091333056574
"CHI","Centrally Planned Asia",2050,"MNG",0.000369887632863932,0.0128091333056574
"EAS","South East Asia",2030,"KHM",1.99964859463523e-05,-0.00100241021169324
"EAS","South East Asia",2030,"IDN",1.99964859463523e-05,-0.00100241021169324
"EAS","South East Asia",2030,"LAO",1.99964859463523e-05,-0.00100241021169324
"EAS","South East Asia",2030,"MYS",1.99964859463523e-05,-0.00100241021169324
"EAS","South East Asia",2030,"MMR",1.99964859463523e-05,-0.00100241021169324
"EAS","South East Asia",2030,"PHL",1.99964859463523e-05,-0.00100241021169324
"EAS","South East Asia",2030,"THA",1.99964859463523e-05,-0.00100241021169324
"EAS","South East Asia",2030,"VNM",1.99964859463523e-05,-0.00100241021169324
"EAS","South East Asia",2040,"KHM",8.14452911170632e-05,-0.00249556565066393
